English,Indonesia
near,di dekat
nearby,di dekat sini
nearly,hampir
necessarily,perlu
necessary,diperlukan
neck,leher
need,membutuhkan
negative,negatif
negotiate,negosiasi
negotiation,perundingan
neighbor,tetangga
neighborhood,lingkungan
neither,juga tidak
nerve,saraf
nervous,grogi
net,bersih
network,jaringan
never,tidak pernah
nevertheless,namun demikian
new,baru
newly,baru saja
news,berita
newspaper,koran
next,Berikutnya
nice,Bagus
night,malam
nine,sembilan
no,TIDAK
nobody,bukan siapa-siapa
nod,anggukan
noise,kebisingan
nomination,pencalonan
none,tidak ada
nonetheless,Namun
nor,juga bukan
normal,normal
normally,biasanya
north,utara
northern,sebelah utara
nose,hidung
not,bukan
note,catatan
nothing,Tidak ada apa-apa
notice,melihat
notion,gagasan
novel,novel
now,Sekarang
nowhere,tidak ada tempat
n't,n't
nuclear,nuklir
number,nomor
numerous,banyak sekali
nurse,perawat
nut,kacang
object,obyek
objective,objektif
obligation,kewajiban
observation,pengamatan
observe,mengamati
observer,pengamat
obtain,memperoleh
obvious,jelas
obviously,jelas sekali
occasion,kesempatan
occasionally,kadang-kadang
occupation,pekerjaan
occupy,menempati
occur,terjadi
ocean,laut
odd,aneh
odds,kemungkinan
of,dari
off,mati
offense,pelanggaran
offensive,menyinggung
offer,menawarkan
office,kantor
officer,petugas
official,resmi
often,sering
oh,Oh
oil,minyak
ok,Oke
okay,Oke
old,tua
Olympic,Olimpiade
on,pada
once,sekali
one,satu
ongoing,sedang berlangsung
onion,bawang bombai
online,on line
only,hanya
onto,ke
open,membuka
opening,pembukaan
operate,beroperasi
operating,Pengoperasian
operation,operasi
operator,operator
opinion,pendapat
opponent,lawan
opportunity,peluang
oppose,menolak
opposite,di depan
opposition,berlawanan
option,pilihan
or,atau
orange,oranye
order,memesan
ordinary,biasa
organic,organik
organization,organisasi
organize,mengatur
orientation,orientasi
origin,asal
original,asli
originally,semula
other,lainnya
others,yang lain
otherwise,jika tidak
ought,sebaiknya
our,kita
ourselves,diri
out,keluar
outcome,hasil
outside,di luar
oven,oven
over,lebih
overall,keseluruhan
overcome,mengatasi
overlook,mengabaikan
owe,utang
own,memiliki
owner,pemilik
pace,laju
pack,mengemas
package,kemasan
page,halaman
pain,nyeri
painful,menyakitkan
paint,cat
painter,pelukis
painting,lukisan
pair,pasangan
pale,pucat
Palestinian,Palestina
palm,telapak
pan,panci
panel,panel
pant,celana
paper,kertas
parent,induk
park,taman
parking,parkir
part,bagian
participant,peserta
participate,ikut
participation,partisipasi
particular,tertentu
particularly,khususnya
partly,sebagian
partner,mitra
partnership,kemitraan
party,berpesta
pass,lulus
passage,jalan
passenger,penumpang
passion,gairah
past,masa lalu
patch,tambalan
path,jalur
patient,sabar
pattern,pola
pause,berhenti sebentar
pay,membayar
payment,pembayaran
PC,PC
peace,perdamaian
peak,puncak
peer,rekan
penalty,penalti
people,rakyat
pepper,merica
per,per
perceive,melihat
percentage,persentase
perception,persepsi
perfect,sempurna
perfectly,sempurna
perform,melakukan
performance,pertunjukan
perhaps,mungkin
period,periode
permanent,permanen
permission,izin
permit,izin
person,orang
personal,pribadi
personality,kepribadian
personally,sendiri
personnel,personil
perspective,perspektif
persuade,membujuk
pet,peliharaan
phase,fase
phenomenon,fenomena
philosophy,filsafat
phone,telepon
photo,foto
photograph,foto
photographer,juru potret
phrase,frasa
physical,fisik
physically,secara fisik
physician,dokter
piano,piano
pick,memilih
picture,gambar
pie,pai
piece,bagian
pile,tumpukan
pilot,pilot
pine,pinus
pink,Merah Jambu
pipe,pipa
pitch,melempar
place,tempat
plan,rencana
plane,pesawat
planet,planet
planning,perencanaan
plant,tanaman
plastic,plastik
plate,piring
platform,platform
play,bermain
player,pemain
please,Tolong
pleasure,kesenangan
plenty,banyak
plot,merencanakan
plus,plus
PM,PM
pocket,saku
poem,puisi
poet,penyair
poetry,puisi
point,titik
pole,tiang
police,POLISI
policy,kebijakan
political,politik
politically,secara politis
politician,politikus
politics,politik
poll,pemilihan
pollution,polusi
pool,kolam
poor,miskin
pop,pop
popular,populer
population,populasi
porch,beranda
port,pelabuhan
portion,bagian
portrait,potret
portray,menggambarkan
pose,pose
position,posisi
positive,positif
possess,memiliki
possibility,kemungkinan
possible,mungkin
possibly,mungkin
post,pos
pot,pot
potato,kentang
potential,potensi
potentially,berpotensi
pound,pound
pour,menuangkan
poverty,kemiskinan
powder,bubuk
power,kekuatan
powerful,kuat
practical,praktis
practice,praktik
pray,berdoa
prayer,doa
precisely,dengan tepat
predict,meramalkan
prefer,lebih menyukai
preference,preferensi
pregnancy,kehamilan
pregnant,hamil
preparation,persiapan
prepare,mempersiapkan
prescription,resep
presence,kehadiran
present,hadiah
presentation,presentasi
preserve,melestarikan
president,Presiden
presidential,Presiden
press,tekan
pressure,tekanan
pretend,berpura-pura
pretty,cantik
prevent,mencegah
previous,sebelumnya
previously,sebelumnya
price,harga
pride,kebanggaan
priest,pendeta
primarily,terutama
primary,utama
prime,utama
principal,kepala sekolah
principle,prinsip
print,mencetak
prior,sebelumnya
priority,prioritas
prison,penjara
prisoner,tawanan
privacy,pribadi
private,pribadi
probably,mungkin
problem,masalah
procedure,prosedur
proceed,melanjutkan
process,proses
produce,menghasilkan
producer,produsen
product,produk
production,produksi
profession,profesi
professional,profesional
professor,profesor
profile,Profil
profit,laba
program,program
progress,kemajuan
project,proyek
prominent,menonjol
promise,janji
promote,memajukan
prompt,mengingatkan
proof,bukti
proper,sesuai
properly,dengan baik
property,Properti
proportion,proporsi
proposal,usul
propose,mengusulkan
proposed,diajukan
prosecutor,jaksa
prospect,prospek
protect,melindungi
protection,perlindungan
protein,protein
protest,protes
proud,bangga
prove,membuktikan
provide,menyediakan
provider,pemberi
province,propinsi
provision,persediaan
psychological,psikologis
psychologist,psikolog
psychology,psikologi
public,publik
publication,publikasi
publicly,di depan umum
publish,menerbitkan
publisher,penerbit
pull,menarik
punishment,hukuman
purchase,pembelian
pure,murni
purpose,tujuan
pursue,mengejar
push,dorongan
put,meletakkan
qualify,memenuhi syarat
quality,kualitas
quarter,seperempat
quarterback,quarterback
question,pertanyaan
quick,cepat
quickly,dengan cepat
quiet,diam
quietly,diam-diam
quit,berhenti
quite,lumayan
quote,mengutip
race,balapan
racial,rasial
radical,radikal
radio,radio
rail,rel
rain,hujan
raise,mengangkat
range,jangkauan
rank,pangkat
rapid,cepat
rapidly,dengan cepat
rare,langka
rarely,jarang
rate,kecepatan
rather,lebih tepatnya
rating,peringkat
ratio,perbandingan
raw,mentah
reach,mencapai
react,reaksi
reaction,reaksi
read,membaca
reader,pembaca
reading,membaca
ready,siap
real,nyata
reality,realitas
realize,menyadari
really,Sungguh
reason,alasan
reasonable,wajar
recall,mengingat
receive,menerima
recent,terkini
recently,baru-baru ini
recipe,resep
recognition,pengakuan
recognize,mengenali
recommend,menyarankan
recommendation,rekomendasi
record,catatan
recording,rekaman
recover,pulih
recovery,pemulihan
recruit,rekrut
red,merah
reduce,mengurangi
reduction,pengurangan
refer,merujuk
reference,referensi
reflect,mencerminkan
reflection,cerminan
reform,pembaruan
refugee,pengungsi
refuse,menolak
regard,pandangan
regarding,tentang
regardless,tanpa memedulikan
regime,rezim
region,wilayah
regional,regional
register,daftar
regular,reguler
regularly,secara teratur
regulate,mengatur
regulation,peraturan
reinforce,memperkuat
reject,menolak
relate,mengaitkan
relation,hubungan
relationship,hubungan
relative,relatif
relatively,relatif
relax,santai
release,melepaskan
relevant,relevan
relief,lega
religion,agama
religious,keagamaan
rely,mengandalkan
remain,tetap
remaining,tersisa
remarkable,luar biasa
remember,Ingat
remind,mengingatkan
remote,terpencil
remove,menghapus
repeat,mengulang
repeatedly,berkali-kali
replace,mengganti
reply,membalas
report,laporan
reporter,reporter
represent,mewakili
representation,perwakilan
representative,perwakilan
Republican,Republik
reputation,reputasi
request,meminta
require,memerlukan
requirement,persyaratan
research,riset
researcher,peneliti
resemble,mirip
reservation,reservasi
resident,penduduk
resist,melawan
resistance,perlawanan
resolution,resolusi
resolve,menyelesaikan
resort,resor
resource,sumber
respect,menghormati
respond,menanggapi
respondent,responden
response,tanggapan
responsibility,tanggung jawab
responsible,bertanggung jawab
rest,istirahat
restaurant,restoran
restore,memulihkan
restriction,larangan
result,hasil
retain,mempertahankan
retire,pensiun
retirement,masa pensiun
return,kembali
reveal,mengungkap
revenue,pendapatan
review,tinjauan
revolution,revolusi
rhythm,irama
rice,beras
rich,kaya
rid,menyingkirkan
ride,mengendarai
rifle,senapan
right,Kanan
ring,cincin
rise,bangkit
risk,mempertaruhkan
river,sungai
road,jalan
rock,batu
role,peran
roll,gulungan
romantic,romantis
roof,atap
room,ruang
root,akar
rope,tali
rose,mawar
rough,kasar
roughly,dengan kasar
round,bulat
route,rute
routine,rutin
row,baris
rub,menggosok
rule,aturan
run,berlari
running,berlari
rural,pedesaan
rush,bergegas
Russian,Rusia
sacred,suci
sad,sedih
safe,aman
safety,keamanan
sake,demi
salad,salad
salary,gaji
sale,penjualan
sales,penjualan
salt,garam
same,sama
sample,Sampel
sanction,sanksi
sand,pasir
satellite,satelit
satisfaction,kepuasan
satisfy,memuaskan
sauce,saus
save,menyimpan
saving,penghematan
say,mengatakan
scale,skala
scandal,skandal
scared,takut
scenario,skenario
scene,pemandangan
schedule,jadwal
scheme,skema
scholar,sarjana
scholarship,beasiswa
school,sekolah
science,sains
scientific,ilmiah
scientist,Ilmuwan
scope,cakupan
score,skor
scream,berteriak
screen,layar
script,naskah
sea,laut
search,mencari
season,musim
seat,kursi
second,Kedua
secret,rahasia
secretary,sekretaris
section,bagian
sector,sektor
secure,aman
security,keamanan
see,melihat
seed,benih
seek,mencari
seem,terlihat
segment,segmen
seize,menangkap
select,Pilih
selection,pilihan
self,diri sendiri
sell,menjual
Senate,Senat
senator,senator
send,mengirim
senior,senior
sense,nalar
sensitive,peka
sentence,kalimat
separate,memisahkan
sequence,urutan
series,seri
serious,serius
seriously,dengan serius
serve,melayani
service,melayani
session,sidang
set,mengatur
setting,pengaturan
settle,menetap
settlement,hunian
seven,tujuh
several,beberapa
severe,berat
sex,seks
sexual,seksual
shade,naungan
shadow,bayangan
shake,menggoyang
shall,sebaiknya
shape,membentuk
share,membagikan
sharp,tajam
she,dia
sheet,lembaran
shelf,rak
shell,kerang
shelter,tempat berlindung
shift,menggeser
shine,bersinar
ship,mengirimkan
shirt,kemeja
shit,kotoran
shock,terkejut
shoe,sepatu
shoot,menembak
shooting,penembakan
shop,toko
shopping,belanja
shore,pantai
short,pendek
shortly,segera
shot,tembakan
should,sebaiknya
shoulder,bahu
shout,berteriak
show,menunjukkan
shower,mandi
shrug,mengangkat bahu
shut,ditutup
sick,sakit
side,samping
sigh,mendesah
sight,penglihatan
sign,tanda
signal,sinyal
significance,makna
significant,penting
significantly,secara signifikan
silence,kesunyian
silent,diam
silver,perak
similar,serupa
similarly,demikian pula
simple,sederhana
simply,secara sederhana
sin,dosa
since,sejak
sing,menyanyi
singer,penyanyi
single,lajang
sink,tenggelam
sir,Pak
sister,saudari
sit,duduk
site,lokasi
situation,situasi
six,enam
size,ukuran
ski,main ski
skill,keahlian
skin,kulit
sky,langit
slave,budak
sleep,tidur
slice,mengiris
slide,menggeser
slight,sedikit
slightly,agak
slip,tergelincir
slow,lambat
slowly,perlahan-lahan
small,kecil
smart,cerdas
smell,bau
smile,senyum
smoke,merokok
smooth,mulus
snap,patah
snow,salju
so,Jadi
so-called,disebut
soccer,sepak bola
social,sosial
society,masyarakat
soft,lembut
software,perangkat lunak
soil,tanah
solar,tenaga surya
soldier,tentara
solid,padat
solution,larutan
solve,menyelesaikan
some,beberapa
somebody,seseorang
somehow,bagaimanapun
someone,seseorang
something,sesuatu
sometimes,Kadang-kadang
somewhat,agak
somewhere,di suatu tempat
son,putra
song,lagu
soon,segera
sophisticated,rumit
sorry,Maaf
sort,menyortir
soul,jiwa
sound,suara
soup,Sup
source,sumber
south,selatan
southern,Selatan
Soviet,Soviet
space,ruang angkasa
Spanish,Orang Spanyol
speak,berbicara
speaker,pembicara
special,spesial
specialist,spesialis
species,jenis
specific,spesifik
specifically,secara khusus
speech,pidato
speed,kecepatan
spend,membelanjakan
spending,pengeluaran
spin,putaran
spirit,roh
spiritual,rohani
split,membelah
spokesman,juru bicara
sport,olahraga
spot,titik
spread,menyebar
spring,musim semi
square,persegi
squeeze,meremas
stability,stabilitas
stable,stabil
staff,staf
stage,panggung
stair,anak tangga
stake,mempertaruhkan
stand,berdiri
standard,standar
standing,kedudukan
star,bintang
stare,menatap
start,awal
state,negara
statement,penyataan
station,stasiun
statistics,statistik
status,status
stay,tinggal
steady,stabil
steal,mencuri
steel,baja
step,melangkah
stick,tongkat
still,tetap
stir,mengaduk
stock,saham
stomach,perut
stone,batu
stop,berhenti
storage,penyimpanan
store,toko
storm,badai
story,cerita
straight,lurus
strange,aneh
stranger,lebih aneh
strategic,strategis
strategy,strategi
stream,sungai kecil
street,jalan
strength,kekuatan
strengthen,memperkuat
stress,menekankan
stretch,menggeliat
strike,memukul
string,rangkaian
strip,mengupas
stroke,stroke
strong,kuat
strongly,dengan kuat
structure,struktur
struggle,berjuang
student,murid
studio,studio
study,belajar
stuff,hal-hal
stupid,bodoh
style,gaya
subject,subjek
submit,kirim
subsequent,setelah
substance,zat
substantial,besar
succeed,berhasil
success,kesuksesan
successful,sukses
successfully,berhasil
such,seperti
sudden,tiba-tiba
suddenly,Tiba-tiba
sue,menuntut
suffer,menderita
sufficient,memadai
sugar,gula
suggest,menyarankan
suggestion,saran
suicide,bunuh diri
suit,setelan
summer,musim panas
summit,puncak
sun,matahari
super,super
supply,memasok
support,mendukung
supporter,pendukung
suppose,memperkirakan
supposed,diperkirakan
Supreme,Tertinggi
sure,Tentu
surely,pasti
surface,permukaan
surgery,operasi
surprise,kejutan
surprised,terkejut
surprising,mengejutkan
surprisingly,heran
surround,mengelilingi
survey,survei
survival,bertahan hidup
survive,bertahan hidup
survivor,penyintas
suspect,mengira
sustain,mempertahankan
swear,bersumpah
sweep,menyapu
sweet,manis
swim,berenang
swing,mengayun
switch,mengalihkan
symbol,simbol
symptom,gejala
system,sistem
table,meja
tablespoon,sendok makan
tactic,taktik
tail,ekor
take,mengambil
tale,kisah
talent,bakat
talk,bicara
tall,tinggi
tank,tangki
tap,mengetuk
tape,tape
target,target
task,tugas
taste,mencicipi
tax,pajak
taxpayer,pembayar pajak
tea,teh
teach,mengajar
teacher,guru
teaching,pengajaran
team,tim
tear,merobek
teaspoon,sendok teh
technical,teknis
technique,teknik
technology,teknologi
teen,remaja
teenager,remaja
telephone,telepon
telescope,teleskop
television,televisi
tell,memberi tahu
temperature,suhu
temporary,sementara
ten,sepuluh
tend,cenderung
tendency,kecenderungan
tennis,tenis
tension,ketegangan
tent,tenda
term,ketentuan
terms,ketentuan
terrible,sangat buruk
territory,wilayah
terror,teror
terrorism,terorisme
terrorist,teroris
test,tes
testify,bersaksi
testimony,kesaksian
testing,pengujian
text,teks
than,dibandingkan
thank,terima kasih
thanks,terima kasih
that,itu
the,itu
theater,teater
their,milik mereka
them,mereka
theme,tema
themselves,diri
then,Kemudian
theory,teori
therapy,terapi
there,di sana
therefore,Karena itu
these,ini
they,mereka
thick,tebal
thin,tipis
thing,benda
think,memikirkan
thinking,pemikiran
third,ketiga
thirty,tigapuluh
this,ini
those,itu
though,meskipun
thought,pikiran
thousand,ribu
threat,ancaman
threaten,mengancam
three,tiga
throat,tenggorokan
through,melalui
throughout,selama
throw,melemparkan
thus,dengan demikian
ticket,tiket
tie,mengikat
tight,ketat
time,waktu
tiny,kecil
tip,tip
tire,ban
tired,lelah
tissue,jaringan
title,judul
to,ke
tobacco,tembakau
today,Hari ini
toe,kaki
together,bersama
tomato,tomat
tomorrow,besok
tone,nada
tongue,lidah
tonight,malam ini
too,juga
tool,alat
tooth,gigi
top,atas
topic,tema
toss,melemparkan
total,total
totally,sama sekali
touch,menyentuh
tough,keras
tour,wisata
tourist,turis
tournament,turnamen
toward,ke arah
towards,terhadap
tower,menara
town,kota
toy,mainan
trace,jejak
track,melacak
trade,berdagang
tradition,tradisi
traditional,tradisional
traffic,lalu lintas
tragedy,tragedi
trail,jejak
train,kereta
training,pelatihan
transfer,transfer
transform,mengubah
transformation,transformasi
transition,transisi
translate,menerjemahkan
transportation,angkutan
travel,bepergian
treat,merawat
treatment,perlakuan
treaty,perjanjian
tree,pohon
tremendous,luar biasa besar
trend,kecenderungan
trial,uji coba
tribe,suku
trick,menipu
trip,perjalanan
troop,pasukan
trouble,masalah
truck,truk
TRUE,BENAR
truly,sungguh-sungguh
trust,memercayai
truth,kebenaran
try,mencoba
tube,tabung
tunnel,terowongan
turn,berbelok
TV,televisi
twelve,dua belas
twenty,dua puluh
twice,dua kali
twin,kembar
two,dua
type,jenis
typical,khas
typically,khas
ugly,jelek
ultimate,terakhir
ultimately,akhirnya
unable,tidak dapat
uncle,paman
under,di bawah
undergo,menjalani
understand,memahami
understanding,memahami
unfortunately,Sayangnya
uniform,seragam
union,Persatuan
unique,unik
unit,satuan
United,Serikat
universal,universal
universe,semesta
university,Universitas
unknown,tidak dikenal
unless,kecuali
unlike,tidak seperti
unlikely,tidak sepertinya
until,sampai
unusual,tidak biasa
up,ke atas
upon,pada
upper,atas
urban,Urban
urge,keinginan
us,kita
use,menggunakan
used,digunakan
useful,berguna
user,pengguna
usual,biasa
usually,biasanya
utility,kegunaan
vacation,liburan
valley,lembah
valuable,berharga
value,nilai
variable,variabel
variation,variasi
variety,variasi
various,bermacam-macam
vary,bervariasi
vast,luas
vegetable,sayur-mayur
vehicle,kendaraan
venture,usaha
version,Versi: kapan
versus,melawan
very,sangat
vessel,kapal
veteran,veteran
via,melalui
victim,korban
victory,kemenangan
video,Video
view,melihat
viewer,penonton
village,desa
violate,melanggar
violation,pelanggaran
violence,kekerasan
violent,brutal
virtually,sebenarnya
virtue,kebajikan
virus,virus
visible,bisa dilihat
vision,penglihatan
visit,mengunjungi
visitor,pengunjung
visual,visual
vital,vital
voice,suara
volume,volume
volunteer,sukarelawan
vote,Pilih
voter,pemilih
vs,vs.
vulnerable,rentan
wage,gaji
wait,Tunggu
wake,bangun
walk,berjalan
wall,dinding
wander,berjalan-jalan
want,ingin
war,perang
warm,hangat
warn,memperingatkan
warning,peringatan
wash,mencuci
waste,limbah
watch,jam tangan
water,air
wave,melambai
way,jalan
we,Kami
weak,lemah
wealth,kekayaan
wealthy,kaya
weapon,senjata
wear,memakai
weather,cuaca
wedding,pernikahan
week,pekan
weekend,akhir pekan
weekly,mingguan
weigh,Menimbang
weight,berat
welcome,selamat datang
welfare,kesejahteraan
well,Sehat
west,Barat
western,barat
wet,basah
what,Apa
whatever,apa pun
wheel,roda
when,Kapan
whenever,kapan pun
where,Di mana
whereas,sedangkan
whether,apakah
which,yang
while,ketika
whisper,bisikan
white,putih
who,WHO
whole,utuh
whom,yang
whose,yang
why,Mengapa
wide,lebar
widely,secara luas
widespread,tersebar luas
wife,istri
wild,liar
will,akan
willing,bersedia
win,menang
wind,angin
window,jendela
wine,anggur
wing,sayap
winner,pemenang
winter,musim dingin
wipe,menghapus
wire,kabel
wisdom,kebijaksanaan
wise,bijak
wish,mengharapkan
with,dengan
withdraw,menarik
within,di dalam
without,tanpa
witness,saksi
woman,wanita
wonder,rasa takjub
wonderful,luar biasa
wood,kayu
wooden,kayu
word,kata
work,bekerja
worker,pekerja
working,bekerja
works,Pekerjaan
workshop,bengkel
world,dunia
worried,khawatir
worry,khawatir
worth,bernilai
would,akan
wound,luka
wrap,membungkus
write,menulis
writer,penulis
writing,menulis
wrong,salah
yard,halaman
yeah,Ya
year,tahun
yell,berteriak
yellow,kuning
yes,Ya
yesterday,Kemarin
yet,belum
yield,menghasilkan
you,Anda
young,muda
your,milikmu
yours,milikmu
yourself,dirimu sendiri
youth,anak muda
zone,daerah
@ikhsanmasu,@ikhsanmASU
,
Leave a comment,
No file chosen,
"Attach files by dragging & dropping, selecting or pasting them.",
Footer,
"© 2023 GitHub, Inc.",
Footer navigation,
Terms,
Privacy,
Security,
Status,
Docs,
Contact GitHub,
Pricing,
API,
Training,
Blog,
About,
